intent,question,answer
greeting,"Hi","Hello! How can I assist you today?"
greeting,"Hello","Hello! How can I assist you today?"
greeting,"Hey","Hello! How can I assist you today?"
greeting,"Good morning","Good morning! How can I help you today?"
greeting,"Good afternoon","Good afternoon! How can I help you today?"
greeting,"Good evening","Good evening! How can I help you today?"
greeting,"Greetings","Hello! How can I assist you today?"
greeting,"Hi there","Hello! How can I assist you today?"
greeting,"Howdy","Hello! How can I assist you today?"
greeting,"What's up","Hello! How can I assist you today?"
greeting,"Hey there","Hello! How can I assist you today?"
greeting,"Good day","Hello! How can I assist you today?"

goodbye,"Bye","Goodbye! Have a great day!"
goodbye,"Goodbye","Goodbye! Have a great day!"
goodbye,"See you","Goodbye! Have a great day!"
goodbye,"See you later","Goodbye! Have a great day!"
goodbye,"Farewell","Goodbye! Have a great day!"
goodbye,"Take care","Goodbye! Have a great day!"
goodbye,"Catch you later","Goodbye! Have a great day!"
goodbye,"Talk to you soon","Goodbye! Have a great day!"
goodbye,"Have a nice day","Goodbye! Have a great day!"
goodbye,"Later","Goodbye! Have a great day!"
goodbye,"See ya","Goodbye! Have a great day!"
goodbye,"Peace","Goodbye! Have a great day!"
goodbye,"I'm off","Goodbye! Have a great day!"
goodbye,"Bye for now","Goodbye! Have a great day!"
goodbye,"See you around","Goodbye! Have a great day!"

get_name,"What is the name of the property?","Clifftop Cabin"
get_name,"What's the property called?","Clifftop Cabin"
get_name,"Can you tell me the name of the cabin?","Clifftop Cabin"
get_name,"How is the property named?","Clifftop Cabin"

get_address,"What is the address of Clifftop Cabin?","Farm B12, Roodeplaat"
get_address,"Where is Clifftop Cabin located?","Farm B12, Roodeplaat"
get_address,"Can you provide the address for Clifftop Cabin?","Farm B12, Roodeplaat"
get_address,"Where can I find Clifftop Cabin?","Farm B12, Roodeplaat"

get_place,"Where is Clifftop Cabin located?","Roodeplaat"
get_place,"In which area is Clifftop Cabin situated?","Roodeplaat"
get_place,"Clifftop Cabin is in which place?","Roodeplaat"
get_place,"Which locality is Clifftop Cabin in?","Roodeplaat"

get_type,"What type of property is Clifftop Cabin?","Cabin"
get_type,"Is Clifftop Cabin a house or a cabin?","Cabin"
get_type,"What kind of accommodation is Clifftop Cabin?","Cabin"
get_type,"Can you specify the type of Clifftop Cabin?","Cabin"

get_pax,"How many people can Clifftop Cabin accommodate?","2"
get_pax,"What is the maximum occupancy of Clifftop Cabin?","2"
get_pax,"How many guests can stay at Clifftop Cabin?","2"
get_pax,"What is the guest capacity for Clifftop Cabin?","2"

get_bedrooms,"How many bedrooms does Clifftop Cabin have?","1"
get_bedrooms,"What is the number of bedrooms in Clifftop Cabin?","1"
get_bedrooms,"Does Clifftop Cabin have multiple bedrooms?","1"
get_bedrooms,"How many beds are there in Clifftop Cabin?","1"

get_bathrooms,"How many bathrooms does Clifftop Cabin have?","1"
get_bathrooms,"What is the number of bathrooms in Clifftop Cabin?","1"
get_bathrooms,"Does Clifftop Cabin have multiple bathrooms?","1"
get_bathrooms,"How many baths are available in Clifftop Cabin?","1"

get_bed_sizes,"What are the bed sizes in Clifftop Cabin?","1 Queen"
get_bed_sizes,"Can you tell me the bed sizes at Clifftop Cabin?","1 Queen"
get_bed_sizes,"What type of beds are in Clifftop Cabin?","1 Queen"
get_bed_sizes,"How big are the beds in Clifftop Cabin?","1 Queen"

get_size,"What is the size of Clifftop Cabin?","48m²"
get_size,"How large is Clifftop Cabin?","48m²"
get_size,"Can you provide the area of Clifftop Cabin?","48m²"
get_size,"What is the total square meters of Clifftop Cabin?","48m²"

get_built_year,"When was Clifftop Cabin built?","2023"
get_built_year,"In which year was Clifftop Cabin constructed?","2023"
get_built_year,"What is the construction year of Clifftop Cabin?","2023"
get_built_year,"When did they build Clifftop Cabin?","2023"

has_ac,"Does Clifftop Cabin have air conditioning?","No"
has_ac,"Is there AC available in Clifftop Cabin?","No"
has_ac,"Does Clifftop Cabin come with air conditioning?","No"
has_ac,"Can I use air conditioning at Clifftop Cabin?","No"

has_heat,"Does Clifftop Cabin have heating?","Yes"
has_heat,"Is there heating in Clifftop Cabin?","Yes"
has_heat,"Does Clifftop Cabin provide heating?","Yes"
has_heat,"Can I expect heating at Clifftop Cabin?","Yes"

has_fan,"Does Clifftop Cabin have a fan?","Yes"
has_fan,"Is there a fan available in Clifftop Cabin?","Yes"
has_fan,"Can I use a fan at Clifftop Cabin?","Yes"
has_fan,"Does Clifftop Cabin include a fan?","Yes"

has_washing_machine,"Does Clifftop Cabin have a washing machine?","No"
has_washing_machine,"Is there a washing machine in Clifftop Cabin?","No"
has_washing_machine,"Can I do laundry at Clifftop Cabin?","No"
has_washing_machine,"Does Clifftop Cabin provide a washer?","No"

has_tumble_dryer,"Does Clifftop Cabin have a tumble dryer?","No"
has_tumble_dryer,"Is there a dryer available in Clifftop Cabin?","No"
has_tumble_dryer,"Can I use a tumble dryer at Clifftop Cabin?","No"
has_tumble_dryer,"Does Clifftop Cabin include a dryer?","No"

has_dishwasher,"Does Clifftop Cabin have a dishwasher?","No"
has_dishwasher,"Is there a dishwasher in Clifftop Cabin?","No"
has_dishwasher,"Can I use a dishwasher at Clifftop Cabin?","No"
has_dishwasher,"Does Clifftop Cabin provide a dishwasher?","No"

has_iron,"Is there an iron available at Clifftop Cabin?","No"
has_iron,"Does Clifftop Cabin have an iron?","No"
has_iron,"Can I use an iron at Clifftop Cabin?","No"
has_iron,"Is an iron provided in Clifftop Cabin?","No"

has_tv,"Does Clifftop Cabin have a TV?","Yes"
has_tv,"Is there a television in Clifftop Cabin?","Yes"
has_tv,"Can I watch TV at Clifftop Cabin?","Yes"
has_tv,"Does Clifftop Cabin include a TV?","Yes"

allows_pets,"Are pets allowed at Clifftop Cabin?","No"
allows_pets,"Can I bring my pet to Clifftop Cabin?","No"
allows_pets,"Is pet-friendly accommodation available at Clifftop Cabin?","No"
allows_pets,"Does Clifftop Cabin allow animals?","No"

has_desk,"Is there a desk available at Clifftop Cabin?","No"
has_desk,"Does Clifftop Cabin provide a workspace?","No"
has_desk,"Can I work at Clifftop Cabin?","No"
has_desk,"Is a desk included in Clifftop Cabin?","No"

has_fireplace,"Does Clifftop Cabin have a fireplace?","Yes"
has_fireplace,"Is there a fireplace in Clifftop Cabin?","Yes"
has_fireplace,"Can I use the fireplace at Clifftop Cabin?","Yes"
has_fireplace,"Does Clifftop Cabin include a fireplace?","Yes"

has_fire_extinguisher,"Is there a fire extinguisher at Clifftop Cabin?","Yes"
has_fire_extinguisher,"Does Clifftop Cabin provide a fire extinguisher?","Yes"
has_fire_extinguisher,"Can I find a fire extinguisher in Clifftop Cabin?","Yes"
has_fire_extinguisher,"Is a fire extinguisher available at Clifftop Cabin?","Yes"

has_first_aid,"Is there a first aid kit available at Clifftop Cabin?","Yes"
has_first_aid,"Does Clifftop Cabin provide a first aid kit?","Yes"
has_first_aid,"Can I access a first aid kit in Clifftop Cabin?","Yes"
has_first_aid,"Is a first aid kit included in Clifftop Cabin?","Yes"

has_bbq,"Does Clifftop Cabin have a BBQ?","Yes"
has_bbq,"Is there a barbecue available at Clifftop Cabin?","Yes"
has_bbq,"Can I use a BBQ at Clifftop Cabin?","Yes"
has_bbq,"Does Clifftop Cabin include a BBQ?","Yes"

has_microwave,"Is there a microwave in Clifftop Cabin?","Yes"
has_microwave,"Does Clifftop Cabin provide a microwave?","Yes"
has_microwave,"Can I use a microwave at Clifftop Cabin?","Yes"
has_microwave,"Does Clifftop Cabin include a microwave?","Yes"

has_hair_dryer,"Is there a hair dryer at Clifftop Cabin?","Yes"
has_hair_dryer,"Does Clifftop Cabin provide a hair dryer?","Yes"
has_hair_dryer,"Can I use a hair dryer at Clifftop Cabin?","Yes"
has_hair_dryer,"Does Clifftop Cabin include a hair dryer?","Yes"

has_coffee_tea,"Are coffee and tea provided at Clifftop Cabin?","Yes"
has_coffee_tea,"Does Clifftop Cabin offer coffee and tea?","Yes"
has_coffee_tea,"Can I get coffee and tea at Clifftop Cabin?","Yes"
has_coffee_tea,"Is coffee and tea available in Clifftop Cabin?","Yes"

has_milk,"Is milk provided at Clifftop Cabin?","Yes"
has_milk,"Does Clifftop Cabin offer milk?","Yes"
has_milk,"Can I get milk at Clifftop Cabin?","Yes"
has_milk,"Is milk available in Clifftop Cabin?","Yes"

has_water,"Is water provided at Clifftop Cabin?","Yes"
has_water,"Does Clifftop Cabin offer bottled water?","Yes"
has_water,"Can I get water at Clifftop Cabin?","Yes"
has_water,"Is water available in Clifftop Cabin?","Yes"

has_biscuits,"Are biscuits available at Clifftop Cabin?","Yes"
has_biscuits,"Does Clifftop Cabin provide biscuits?","Yes"
has_biscuits,"Can I get biscuits at Clifftop Cabin?","Yes"
has_biscuits,"Are there biscuits in Clifftop Cabin?","Yes"

has_rusk,"Is rusk available at Clifftop Cabin?","Yes"
has_rusk,"Does Clifftop Cabin offer rusk?","Yes"
has_rusk,"Can I get rusk at Clifftop Cabin?","Yes"
has_rusk,"Is rusk provided in Clifftop Cabin?","Yes"

has_charcoal_wood,"Are charcoal or wood available at Clifftop Cabin?","Yes"
has_charcoal_wood,"Does Clifftop Cabin provide charcoal or wood?","Yes"
has_charcoal_wood,"Can I use charcoal or wood at Clifftop Cabin?","Yes"
has_charcoal_wood,"Is charcoal or wood available in Clifftop Cabin?","Yes"

has_body_wash,"Is body wash provided at Clifftop Cabin?","Yes"
has_body_wash,"Does Clifftop Cabin offer body wash?","Yes"
has_body_wash,"Can I get body wash at Clifftop Cabin?","Yes"
has_body_wash,"Is body wash available in Clifftop Cabin?","Yes"

checkin_method,"What is the check-in method for Clifftop Cabin?","Lockbox"
checkin_method,"How do I check in to Clifftop Cabin?","Lockbox"
checkin_method,"What is the check-in procedure for Clifftop Cabin?","Lockbox"
checkin_method,"How is the check-in handled at Clifftop Cabin?","Lockbox"

gate_code,"What is the gate code for Clifftop Cabin?","2581"
gate_code,"Can you provide the gate code for Clifftop Cabin?","2581"
gate_code,"What’s the access code for Clifftop Cabin?","2581"
gate_code,"How do I enter the gate at Clifftop Cabin?","2581"

wifi_name,"What is the Wi-Fi name for Clifftop Cabin?","Rondebos"
wifi_name,"Can you tell me the Wi-Fi SSID for Clifftop Cabin?","Rondebos"
wifi_name,"What is the network name for Clifftop Cabin's Wi-Fi?","Rondebos"
wifi_name,"What is the Wi-Fi identifier for Clifftop Cabin?","Rondebos"

wifi_password,"What is the Wi-Fi password for Clifftop Cabin?","halcyon40"
wifi_password,"Can you provide the Wi-Fi password for Clifftop Cabin?","halcyon40"
wifi_password,"What is the password for Clifftop Cabin's Wi-Fi?","halcyon40"
wifi_password,"How do I connect to the Wi-Fi at Clifftop Cabin?","halcyon40"

price_high,"What is the high season price for Clifftop Cabin from December 1 to January 15?","R3 000"
price_high,"How much does Clifftop Cabin cost during high season (Dec 1 - Jan 15)?","R3 000"
price_high,"What is the rate for Clifftop Cabin in high season?","R3 000"
price_high,"Can you tell me the high season pricing for Clifftop Cabin?","R3 000"

price_mid,"What is the mid season price for Clifftop Cabin from January 16 to May 15 and October 16 to November 30?","R2 500"
price_mid,"How much does Clifftop Cabin cost during mid season (Jan 16 - May 15 & Oct 16 - Nov 30)?","R2 500"
price_mid,"What is the rate for Clifftop Cabin in mid season?","R2 500"
price_mid,"Can you tell me the mid season pricing for Clifftop Cabin?","R2 500"

price_low,"What is the low season price for Clifftop Cabin from May 16 to October 15?","R2 000"
price_low,"How much does Clifftop Cabin cost during low season (May 16 - Oct 15)?","R2 000"
price_low,"What is the rate for Clifftop Cabin in low season?","R2 000"
price_low,"Can you tell me the low season pricing for Clifftop Cabin?","R2 000"

min_stay,"What is the minimum stay required at Clifftop Cabin?","2 nights"
min_stay,"How many nights must I stay at Clifftop Cabin?","2 nights"
min_stay,"Is there a minimum stay at Clifftop Cabin?","2 nights"
min_stay,"What is the shortest stay allowed at Clifftop Cabin?","2 nights"

max_stay,"What is the maximum stay allowed at Clifftop Cabin?","15 nights"
max_stay,"How long can I stay at Clifftop Cabin?","15 nights"
max_stay,"Is there a maximum stay duration for Clifftop Cabin?","15 nights"
max_stay,"What is the longest stay permitted at Clifftop Cabin?","15 nights"

get_name,"What is the name of the property?","Wildside Cabin"
get_name,"What's the property called?","Wildside Cabin"
get_name,"Can you tell me the name of the cabin?","Wildside Cabin"
get_name,"How is the property named?","Wildside Cabin"

get_address,"What is the address of Wildside Cabin?","Farm B12, Roodeplaat"
get_address,"Where is Wildside Cabin located?","Farm B12, Roodeplaat"
get_address,"Can you provide the address for Wildside Cabin?","Farm B12, Roodeplaat"
get_address,"Where can I find Wildside Cabin?","Farm B12, Roodeplaat"

get_place,"Where is Wildside Cabin located?","Roodeplaat"
get_place,"In which area is Wildside Cabin situated?","Roodeplaat"
get_place,"Wildside Cabin is in which place?","Roodeplaat"
get_place,"Which locality is Wildside Cabin in?","Roodeplaat"

get_type,"What type of property is Wildside Cabin?","Cabin"
get_type,"Is Wildside Cabin a house or a cabin?","Cabin"
get_type,"What kind of accommodation is Wildside Cabin?","Cabin"
get_type,"Can you specify the type of Wildside Cabin?","Cabin"

get_pax,"How many people can Wildside Cabin accommodate?","2"
get_pax,"What is the maximum occupancy of Wildside Cabin?","2"
get_pax,"How many guests can stay at Wildside Cabin?","2"
get_pax,"What is the guest capacity for Wildside Cabin?","2"

get_bedrooms,"How many bedrooms does Wildside Cabin have?","1"
get_bedrooms,"What is the number of bedrooms in Wildside Cabin?","1"
get_bedrooms,"Does Wildside Cabin have multiple bedrooms?","1"
get_bedrooms,"How many beds are there in Wildside Cabin?","1"

get_bathrooms,"How many bathrooms does Wildside Cabin have?","1"
get_bathrooms,"What is the number of bathrooms in Wildside Cabin?","1"
get_bathrooms,"Does Wildside Cabin have multiple bathrooms?","1"
get_bathrooms,"How many baths are available in Wildside Cabin?","1"

get_bed_sizes,"What are the bed sizes in Wildside Cabin?","1 Queen"
get_bed_sizes,"Can you tell me the bed sizes at Wildside Cabin?","1 Queen"
get_bed_sizes,"What type of beds are in Wildside Cabin?","1 Queen"
get_bed_sizes,"How big are the beds in Wildside Cabin?","1 Queen"

get_size,"What is the size of Wildside Cabin?","42m²"
get_size,"How large is Wildside Cabin?","42m²"
get_size,"Can you provide the area of Wildside Cabin?","42m²"
get_size,"What is the total square meters of Wildside Cabin?","42m²"

get_built_year,"When was Wildside Cabin built?","2023"
get_built_year,"In which year was Wildside Cabin constructed?","2023"
get_built_year,"What is the construction year of Wildside Cabin?","2023"
get_built_year,"When did they build Wildside Cabin?","2023"

has_ac,"Does Wildside Cabin have air conditioning?","No"
has_ac,"Is there AC available in Wildside Cabin?","No"
has_ac,"Does Wildside Cabin come with air conditioning?","No"
has_ac,"Can I use air conditioning at Wildside Cabin?","No"

has_heat,"Does Wildside Cabin have heating?","Yes"
has_heat,"Is there heating in Wildside Cabin?","Yes"
has_heat,"Does Wildside Cabin provide heating?","Yes"
has_heat,"Can I expect heating at Wildside Cabin?","Yes"

has_fan,"Does Wildside Cabin have a fan?","Yes"
has_fan,"Is there a fan available in Wildside Cabin?","Yes"
has_fan,"Can I use a fan at Wildside Cabin?","Yes"
has_fan,"Does Wildside Cabin include a fan?","Yes"

has_washing_machine,"Does Wildside Cabin have a washing machine?","No"
has_washing_machine,"Is there a washing machine in Wildside Cabin?","No"
has_washing_machine,"Can I do laundry at Wildside Cabin?","No"
has_washing_machine,"Does Wildside Cabin provide a washer?","No"

has_tumble_dryer,"Does Wildside Cabin have a tumble dryer?","No"
has_tumble_dryer,"Is there a dryer available in Wildside Cabin?","No"
has_tumble_dryer,"Can I use a tumble dryer at Wildside Cabin?","No"
has_tumble_dryer,"Does Wildside Cabin include a dryer?","No"

has_dishwasher,"Does Wildside Cabin have a dishwasher?","No"
has_dishwasher,"Is there a dishwasher in Wildside Cabin?","No"
has_dishwasher,"Can I use a dishwasher at Wildside Cabin?","No"
has_dishwasher,"Does Wildside Cabin provide a dishwasher?","No"

has_iron,"Is there an iron available at Wildside Cabin?","No"
has_iron,"Does Wildside Cabin have an iron?","No"
has_iron,"Can I use an iron at Wildside Cabin?","No"
has_iron,"Is an iron provided in Wildside Cabin?","No"

has_tv,"Does Wildside Cabin have a TV?","No"
has_tv,"Is there a television in Wildside Cabin?","No"
has_tv,"Can I watch TV at Wildside Cabin?","No"
has_tv,"Does Wildside Cabin include a TV?","No"

allows_pets,"Are pets allowed at Wildside Cabin?","No"
allows_pets,"Can I bring my pet to Wildside Cabin?","No"
allows_pets,"Is pet-friendly accommodation available at Wildside Cabin?","No"
allows_pets,"Does Wildside Cabin allow animals?","No"

has_desk,"Is there a desk available at Wildside Cabin?","No"
has_desk,"Does Wildside Cabin provide a workspace?","No"
has_desk,"Can I work at Wildside Cabin?","No"
has_desk,"Is a desk included in Wildside Cabin?","No"

has_fireplace,"Does Wildside Cabin have a fireplace?","No"
has_fireplace,"Is there a fireplace in Wildside Cabin?","No"
has_fireplace,"Can I use the fireplace at Wildside Cabin?","No"
has_fireplace,"Does Wildside Cabin include a fireplace?","No"

has_fire_extinguisher,"Is there a fire extinguisher at Wildside Cabin?","Yes"
has_fire_extinguisher,"Does Wildside Cabin provide a fire extinguisher?","Yes"
has_fire_extinguisher,"Can I find a fire extinguisher in Wildside Cabin?","Yes"
has_fire_extinguisher,"Is a fire extinguisher available at Wildside Cabin?","Yes"

has_first_aid,"Is there a first aid kit available at Wildside Cabin?","Yes"
has_first_aid,"Does Wildside Cabin provide a first aid kit?","Yes"
has_first_aid,"Can I access a first aid kit in Wildside Cabin?","Yes"
has_first_aid,"Is a first aid kit included in Wildside Cabin?","Yes"

has_bbq,"Does Wildside Cabin have a BBQ?","Yes"
has_bbq,"Is there a barbecue available at Wildside Cabin?","Yes"
has_bbq,"Can I use a BBQ at Wildside Cabin?","Yes"
has_bbq,"Does Wildside Cabin include a BBQ?","Yes"

has_microwave,"Is there a microwave in Wildside Cabin?","Yes"
has_microwave,"Does Wildside Cabin provide a microwave?","Yes"
has_microwave,"Can I use a microwave at Wildside Cabin?","Yes"
has_microwave,"Does Wildside Cabin include a microwave?","Yes"

has_hair_dryer,"Is there a hair dryer at Wildside Cabin?","Yes"
has_hair_dryer,"Does Wildside Cabin provide a hair dryer?","Yes"
